Model,#Params (B),Submission Date,Hub License,Type,Average ⬆️,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,sub_date,is_chat,has_license,_k,match_conf,matched,c4_model,c4_params_B,c4_compute_FLOP,c4_data,c4_open,c4_access,c4_pubdate,c4_org
1024m/PHI-4-Hindi,14.66,2025-02-06,mit,🔶 fine-tuned on domain-specific datasets,27.4879,0.816833,52.4618,23.3384,19.6868,21.5193,47.104,2025-02-06,False,True,1024mphi4hindi,none,False,,,,,,,,
1024m/QWEN-14B-B100,14.77,2025-02-06,apache-2.0,🔶 fine-tuned on domain-specific datasets,41.9191,77.621,49.7766,54.3807,13.4228,9.88333,46.4299,2025-02-06,False,True,1024mqwen14bb100,low,True,Qwen-14B,14,2.5e+23,3e+12,Yes,Open weights (restricted use),2023-09-28,Alibaba
152334H/miqu-1-70b-sf,68.977,2024-06-26,,🔶 fine-tuned on domain-specific datasets,29.0974,51.8174,43.8071,12.4622,13.4228,17.2094,35.8655,2024-06-26,False,False,152334hmiqu170bsf,none,False,,,,,,,,
1TuanPham/T-VisStar-7B-v0.1,7.294,2024-09-22,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",19.1448,36.0704,30.2438,5.74018,4.69799,13.5542,24.5623,2024-09-22,True,True,1tuanphamtvisstar7bv01,none,False,,,,,,,,
1TuanPham/T-VisStar-v0.1,7.294,2024-09-20,apache-2.0,🔶 fine-tuned on domain-specific datasets,19.1448,36.0704,30.2438,5.74018,4.69799,13.5542,24.5623,2024-09-20,False,True,1tuanphamtvisstarv01,none,False,,,,,,,,
3rd-Degree-Burn/L-3.1-Science-Writer-8B,8.03,2024-11-19,,🔶 fine-tuned on domain-specific datasets,21.0912,42.625,29.1993,10.3474,3.24385,11.6935,29.4382,2024-11-19,False,False,3rddegreeburnl31sciencewriter8b,none,False,,,,,,,,
3rd-Degree-Burn/Llama-3.1-8B-Squareroot,8.03,2024-10-10,apache-2.0,🤝 base merges and moerges,11.2237,22.1344,8.61806,26.5861,0.894855,0.78125,8.32779,2024-10-10,False,True,3rddegreeburnllama318bsquareroot,medium,True,Llama 3.1-8B,8,1.224e+24,,Yes,Open weights (restricted use),2024-07-23,Meta AI
3rd-Degree-Burn/Llama-3.1-8B-Squareroot-v1,8.03,2024-11-10,,🤝 base merges and moerges,8.03795,28.9238,6.51514,8.83686,0.782998,1.75781,1.41105,2024-11-10,False,False,3rddegreeburnllama318bsquarerootv1,medium,True,Llama 3.1-8B,8,1.224e+24,,Yes,Open weights (restricted use),2024-07-23,Meta AI
3rd-Degree-Burn/Llama-Squared-8B,8.03,2024-10-08,,🔶 fine-tuned on domain-specific datasets,12.435,27.5524,21.2771,5.74018,2.90828,1.95182,15.1799,2024-10-08,False,False,3rddegreeburnllamasquared8b,none,False,,,,,,,,
4season/final_model_test_v2,21.421,2024-06-27,apache-2.0,🔶 fine-tuned on domain-specific datasets,23.0862,31.9113,47.4107,8.38369,10.2908,12.431,28.0899,2024-06-27,False,True,4seasonfinalmodeltestv2,none,False,,,,,,,,
AALF/FuseChat-Llama-3.1-8B-Instruct-preview,8.03,2024-11-20,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",28.5686,71.8958,30.8481,24.7734,7.38255,6.15,30.3616,2024-11-20,True,True,aalffusechatllama318binstructpreview,none,False,,,,,,,,
AALF/FuseChat-Llama-3.1-8B-SFT-preview,8.03,2024-11-21,,🔶 fine-tuned on domain-specific datasets,29.2253,72.805,32.5368,22.5076,7.27069,9.75,30.4817,2024-11-21,False,False,aalffusechatllama318bsftpreview,none,False,,,,,,,,
AALF/gemma-2-27b-it-SimPO-37K,27.227,2024-09-05,gemma,"💬 chat models (RLHF, DPO, IFT, ...)",9.51208,24.0653,15.3079,1.28399,4.02685,1.59505,10.7934,2024-09-05,True,True,aalfgemma227bitsimpo37k,medium,True,Gemma 2 27B,27,2.106e+24,1.3e+13,Yes,Open weights (restricted use),2024-06-24,Google DeepMind
AALF/gemma-2-27b-it-SimPO-37K-100steps,27.227,2024-09-21,gemma,"💬 chat models (RLHF, DPO, IFT, ...)",10.2468,25.6764,15.2611,2.1148,5.14541,0.78125,12.5018,2024-09-21,True,True,aalfgemma227bitsimpo37k100steps,medium,True,Gemma 2 27B,27,2.106e+24,1.3e+13,Yes,Open weights (restricted use),2024-06-24,Google DeepMind
AELLM/gemma-2-aeria-infinity-9b,9.242,2024-10-09,,🤝 base merges and moerges,31.9191,75.94,42.0902,21.4502,11.1857,9.04609,31.8022,2024-10-09,False,False,aellmgemma2aeriainfinity9b,none,False,,,,,,,,
AELLM/gemma-2-lyco-infinity-9b,10.159,2024-10-09,,"💬 chat models (RLHF, DPO, IFT, ...)",30.0499,73.1648,39.7875,17.0695,10.4027,8.91276,30.9619,2024-10-09,True,False,aellmgemma2lycoinfinity9b,none,False,,,,,,,,
AGI-0/Art-v0-3B,3.086,2025-01-19,other,🔶 fine-tuned on domain-specific datasets,12.1321,31.9239,8.02978,24.6224,1.23043,5.00286,1.9836,2025-01-19,False,True,agi0artv03b,none,False,,,,,,,,
AGI-0/Artificium-llama3.1-8B-001,8.03,2024-09-08,unknown,🔶 fine-tuned on domain-specific datasets,19.4918,52.4769,19.3489,13.5952,2.12528,5.16563,24.2391,2024-09-08,False,True,agi0artificiumllama318b001,none,False,,,,,,,,
AGI-0/smartllama3.1-8B-001,8.03,2024-11-25,unknown,🔶 fine-tuned on domain-specific datasets,20.4246,35.1787,24.8577,12.9909,7.49441,14.3974,27.6282,2024-11-25,False,True,agi0smartllama318b001,none,False,,,,,,,,
AI-MO/NuminaMath-7B-CoT,6.91,2024-09-10,apache-2.0,🔶 fine-tuned on domain-specific datasets,16.1185,26.8854,19.1524,26.9637,2.12528,0.826302,20.7576,2024-09-10,False,True,aimonuminamath7bcot,none,False,,,,,,,,
AI-MO/NuminaMath-7B-TIR,6.91,2024-07-11,apache-2.0,🔶 fine-tuned on domain-specific datasets,14.1823,27.5624,16.8735,16.0876,1.11857,4.19922,19.2524,2024-07-11,False,True,aimonuminamath7btir,none,False,,,,,,,,
AI-Sweden-Models/Llama-3-8B-instruct,8.03,2024-06-27,llama3,🔶 fine-tuned on domain-specific datasets,14.3437,24.0128,18.3881,3.85196,2.12528,19.9367,17.7471,2024-06-27,False,True,aiswedenmodelsllama38binstruct,medium,True,Llama 3-8B,8,7.2e+23,1.5e+13,Yes,Open weights (restricted use),2024-04-18,Meta AI
AI-Sweden-Models/gpt-sw3-40b,39.927,2024-06-26,other,🟢 pretrained,4.8729,14.703,6.89493,1.73716,0,2.83828,3.06405,2024-06-26,False,True,aiswedenmodelsgptsw340b,high,True,gpt-sw3-40b,40,7.68e+22,,Yes,Open weights (restricted use),2023-03-01,AI Sweden
AI4free/Dhanishtha,1.777,2025-02-19,apache-2.0,🟩 continuously pretrained,11.2477,24.5124,7.93648,25.6042,0.33557,1.95182,7.14576,2025-02-19,False,True,ai4freedhanishtha,none,False,,,,,,,,
AI4free/t2,7.613,2025-02-27,,🤝 base merges and moerges,11.3346,38.6683,2.13315,18.9577,1.00671,5.64609,1.59574,2025-02-27,False,False,ai4freet2,none,False,,,,,,,,
AIDC-AI/Marco-o1,7.616,2025-01-31,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",27.6392,47.7083,34.8425,37.4622,1.23043,9.9638,34.628,2025-01-31,True,True,aidcaimarcoo1,high,True,Marco-o1,7,,,Yes,Open weights (unrestricted),2024-10-16,Alibaba
Aashraf995/Creative-7B-nerd,7.616,2024-12-13,apache-2.0,🤝 base merges and moerges,29.9782,47.2187,37.0802,31.6465,10.179,14.9427,38.8021,2024-12-13,False,True,aashraf995creative7bnerd,none,False,,,,,,,,
Aashraf995/Gemma-Evo-10B,10.159,2024-12-13,apache-2.0,🤝 base merges and moerges,34.3263,73.3221,43.4246,22.281,13.8702,16.6682,36.3918,2024-12-13,False,True,aashraf995gemmaevo10b,none,False,,,,,,,,
Aashraf995/Qwen-Evo-7B,7.616,2024-12-13,apache-2.0,🤝 base merges and moerges,30.2751,47.5734,38.5853,31.4199,10.0671,15.5349,38.4696,2024-12-13,False,True,aashraf995qwenevo7b,none,False,,,,,,,,
Aashraf995/QwenStock-14B,14.766,2024-12-13,apache-2.0,🤝 base merges and moerges,37.13,50.0863,50.4339,35.7251,18.5682,19.2742,48.6924,2024-12-13,False,True,aashraf995qwenstock14b,none,False,,,,,,,,
AbacusResearch/Jallabi-34B,34.389,2024-06-27,apache-2.0,🤝 base merges and moerges,26.1861,35.286,43.6158,5.21148,11.8568,20.2388,40.9076,2024-06-27,False,True,abacusresearchjallabi34b,none,False,,,,,,,,
Ahdoot/StructuredThinker-v0.3-MoreStructure,3.397,2025-01-01,,🤝 base merges and moerges,23.9241,41.9281,27.2585,29.0785,6.26398,10.0112,29.0041,2025-01-01,False,False,ahdootstructuredthinkerv03morestructure,none,False,,,,,,,,
Ahdoot/Test_StealthThinker,3.086,2025-01-05,mit,🔶 fine-tuned on domain-specific datasets,22.069,42.2004,25.3666,17.9003,6.15213,11.9385,28.8564,2025-01-05,False,True,ahdootteststealththinker,none,False,,,,,,,,
AicoresSecurity/Cybernet-Sec-3B-R1-V0,3.213,2025-02-26,,🔶 fine-tuned on domain-specific datasets,20.5842,63.5802,22.3221,11.5559,1.78971,1.92057,22.3367,2025-02-26,False,False,aicoressecuritycybernetsec3br1v0,none,False,,,,,,,,
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,3.213,2025-02-26,,🔶 fine-tuned on domain-specific datasets,22.9305,70.9766,22.6515,14.8792,2.90828,1.96562,24.2021,2025-02-26,False,False,aicoressecuritycybernetsec3br1v0coder,none,False,,,,,,,,
AicoresSecurity/Cybernet-Sec-3B-R1-V1,3.213,2025-03-07,,🔶 fine-tuned on domain-specific datasets,19.998,61.4569,19.1251,15.1813,1.45414,1.92057,20.85,2025-03-07,False,False,aicoressecuritycybernetsec3br1v1,none,False,,,,,,,,
AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,3.213,2025-03-07,,🔶 fine-tuned on domain-specific datasets,22.6434,67.3021,20.4306,17.5982,2.79642,4.52839,23.2048,2025-03-07,False,False,aicoressecuritycybernetsec3br1v11,none,False,,,,,,,,
Alepach/notHumpback-M0,3.213,2025-01-17,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",5.13722,23.5008,1.27736,1.88822,0,2.83828,1.31871,2025-01-17,True,True,alepachnothumpbackm0,none,False,,,,,,,,
Alepach/notHumpback-M1,3.213,2025-01-17,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",4.7793,22.0694,1.92295,1.5861,0,2.08333,1.01396,2025-01-17,True,True,alepachnothumpbackm1,none,False,,,,,,,,
Alepach/notHumpback-M1-v2,3.213,2025-01-19,,"💬 chat models (RLHF, DPO, IFT, ...)",5.20672,22.7714,1.26767,2.19033,1.34228,2.35,1.31871,2025-01-19,True,False,alepachnothumpbackm1v2,none,False,,,,,,,,
Alibaba-NLP/gte-Qwen2-7B-instruct,7.613,2024-08-05,apache-2.0,🔶 fine-tuned on domain-specific datasets,13.8342,22.554,21.9255,6.41994,0,6.3151,25.7905,2024-08-05,False,True,alibabanlpgteqwen27binstruct,none,False,,,,,,,,
Alsebay/Qwen2.5-7B-test-novelist,7.616,2024-12-12,apache-2.0,🔶 fine-tuned on domain-specific datasets,27.1728,53.516,30.4175,23.4894,5.48098,18.294,31.8392,2024-12-12,False,True,alsebayqwen257btestnovelist,medium,True,Qwen2.5-7B,7.61,8.2188e+23,,Yes,Open weights (unrestricted),2024-09-19,Alibaba
Amaorynho/BBAI2006,1.09,2025-02-27,,🤝 base merges and moerges,3.46384,14.6705,1.67767,0,0.33557,2.73438,1.36488,2025-02-27,False,False,amaorynhobbai2006,none,False,,,,,,,,
Amaorynho/BBAI270V4,7.616,2025-02-26,,🤝 base merges and moerges,4.5493,19.9037,3.00679,0.830816,0,2.29115,1.2633,2025-02-26,False,False,amaorynhobbai270v4,none,False,,,,,,,,
Amaorynho/BBAIIFEV1,8.03,2025-03-01,,🤝 base merges and moerges,30.577,80.4737,32.9747,19.3353,8.05369,10.8779,31.7468,2025-03-01,False,False,amaorynhobbaiifev1,none,False,,,,,,,,
Amaorynho/BBAI_375,1.09,2025-02-27,,🤝 base merges and moerges,3.46384,14.6705,1.67767,0,0.33557,2.73438,1.36488,2025-02-27,False,False,amaorynhobbai375,none,False,,,,,,,,
Amu/t1-1.5B,1.777,2025-03-08,mit,🔶 fine-tuned on domain-specific datasets,12.1414,33.9372,15.1729,5.13595,0,1.19687,17.4054,2025-03-08,False,True,amut115b,none,False,,,,,,,,
Amu/t1-3B,3.397,2025-03-13,mit,"💬 chat models (RLHF, DPO, IFT, ...)",11.1609,33.2777,15.2488,13.7462,0,1.5362,3.1564,2025-03-13,True,True,amut13b,none,False,,,,,,,,
ArliAI/ArliAI-RPMax-12B-v1.1,12.248,2024-09-05,apache-2.0,🔶 fine-tuned on domain-specific datasets,20.9763,53.4885,24.8091,11.2538,4.25056,5.5638,26.4923,2024-09-05,False,True,arliaiarliairpmax12bv11,none,False,,,,,,,,
ArliAI/Llama-3.1-8B-ArliAI-RPMax-v1.1,8.03,2024-09-19,llama3,🔶 fine-tuned on domain-specific datasets,23.9421,63.5902,28.787,13.142,4.47427,5.31094,28.3485,2024-09-19,False,True,arliaillama318barliairpmaxv11,medium,True,Llama 3.1-8B,8,1.224e+24,,Yes,Open weights (restricted use),2024-07-23,Meta AI
Arthur-LAGACHERIE/Precis-1B-Instruct,1.236,2025-01-19,llama3.2,🔶 fine-tuned on domain-specific datasets,8.84871,36.7074,6.0691,0.377644,2.12528,3.07734,4.73552,2025-01-19,False,True,arthurlagacherieprecis1binstruct,none,False,,,,,,,,
Artples/L-MChat-7b,7.242,2024-07-07,apache-2.0,🤝 base merges and moerges,21.2385,52.9665,24.2016,9.2145,7.38255,8.12474,25.5411,2024-07-07,False,True,artpleslmchat7b,none,False,,,,,,,,
Artples/L-MChat-Small,2.78,2024-07-07,mit,🤝 base merges and moerges,15.2313,32.8706,26.8565,3.77644,2.34899,9.26589,16.2696,2024-07-07,False,True,artpleslmchatsmall,none,False,,,,,,,,
Aryanne/QwentileSwap,32.764,2025-02-05,apache-2.0,🤝 base merges and moerges,43.9165,73.7842,57.6757,42.2205,15.66,19.2052,54.9535,2025-02-05,False,True,aryanneqwentileswap,none,False,,,,,,,,
Aryanne/SHBA,8.03,2025-01-11,,🤝 base merges and moerges,29.8755,78.1656,32.4777,17.9758,7.38255,11.1169,32.1347,2025-01-11,False,False,aryanneshba,none,False,,,,,,,,
Aryanne/SuperHeart,8.03,2024-09-23,llama3.1,🤝 base merges and moerges,25.5572,51.9223,31.8936,15.6344,6.82327,14.7133,32.3563,2024-09-23,False,True,aryannesuperheart,none,False,,,,,,,,
AtAndDev/Qwen2.5-1.5B-continuous-learnt,1.544,2024-10-13,,🔶 fine-tuned on domain-specific datasets,16.5185,46.0521,19.5377,7.47734,2.12528,3.78906,20.1297,2024-10-13,False,False,atanddevqwen2515bcontinuouslearnt,medium,True,Qwen2.5-1.5B,1.54,1.6632e+23,,Yes,Open weights (unrestricted),2024-09-19,Alibaba
AtAndDev/Qwen2.5-1.5B-continuous-learnt,1.544,2024-10-18,,"💬 chat models (RLHF, DPO, IFT, ...)",17.4836,45.1054,19.7664,14.7281,2.68456,2.55182,20.065,2024-10-18,True,False,atanddevqwen2515bcontinuouslearnt,medium,True,Qwen2.5-1.5B,1.54,1.6632e+23,,Yes,Open weights (unrestricted),2024-09-19,Alibaba
Ateron/Glowing-Forest-12B,12.248,2025-03-06,,🤝 base merges and moerges,22.612,35.918,35.5255,7.77946,11.0738,15.1799,30.1954,2025-03-06,False,False,ateronglowingforest12b,none,False,,,,,,,,
Ateron/Lotus-Magpic,12.248,2025-03-05,,🤝 base merges and moerges,25.4986,62.8608,32.6577,9.96979,7.04698,12.7818,27.6743,2025-03-05,False,False,ateronlotusmagpic,none,False,,,,,,,,
Ateron/Way_of_MagPicaro,12.248,2025-03-05,,🤝 base merges and moerges,20.6306,26.3709,34.3159,5.89124,11.1857,17.8466,28.173,2025-03-05,False,False,ateronwayofmagpicaro,none,False,,,,,,,,
AuraIndustries/Aura-4B,4.513,2024-12-13,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",16.0635,38.1562,22.6409,4.22961,5.03356,7.3638,18.9569,2024-12-13,True,True,auraindustriesaura4b,none,False,,,,,,,,
AuraIndustries/Aura-8B,8.03,2024-12-10,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",27.3633,72.0532,30.9813,15.1813,4.80984,9.22266,31.9315,2024-12-10,True,True,auraindustriesaura8b,none,False,,,,,,,,
AuraIndustries/Aura-MoE-2x4B,7.231,2024-12-14,,"💬 chat models (RLHF, DPO, IFT, ...)",16.798,46.0097,20.6138,3.09668,2.90828,9.83047,18.3289,2024-12-14,True,False,auraindustriesauramoe2x4b,none,False,,,,,,,,
AuraIndustries/Aura-MoE-2x4B-v2,7.231,2024-12-15,,"💬 chat models (RLHF, DPO, IFT, ...)",17.5159,47.7782,20.8012,3.17221,5.03356,10.4245,17.8856,2024-12-15,True,False,auraindustriesauramoe2x4bv2,none,False,,,,,,,,
Aurel9/testmerge-7b,7.242,2024-11-16,,🤝 base merges and moerges,20.9693,39.7998,32.7928,6.571,6.71141,17.1331,22.8077,2024-11-16,False,False,aurel9testmerge7b,none,False,,,,,,,,
Ayush-Singh/Llama1B-sft-2,1.236,2025-02-05,,🔶 fine-tuned on domain-specific datasets,3.16932,13.7438,1.23757,0,0,2.73438,1.30024,2025-02-05,False,False,ayushsinghllama1bsft2,none,False,,,,,,,,
Azure99/Blossom-V6-14B,14.77,2025-01-30,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",32.8058,63.9549,30.3528,52.568,1.67785,8.90677,39.3746,2025-01-30,True,True,azure99blossomv614b,none,False,,,,,,,,
Azure99/Blossom-V6-7B,7.616,2025-01-30,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",31.0457,55.3819,29.4475,45.8459,7.27069,13.3951,34.9328,2025-01-30,True,True,azure99blossomv67b,none,False,,,,,,,,
Azure99/blossom-v5-32b,32.512,2024-09-21,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",27.7247,52.3544,42.8831,18.6556,8.16555,8.35,35.9393,2024-09-21,True,True,azure99blossomv532b,none,False,,,,,,,,
Azure99/blossom-v5-llama3-8b,8.03,2024-09-21,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",14.599,43.4293,18.3065,5.13595,2.01342,5.31094,13.3976,2024-09-21,True,True,azure99blossomv5llama38b,none,False,,,,,,,,
Azure99/blossom-v5.1-34b,34.389,2024-07-27,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",30.2987,56.9656,44.1477,25.9063,7.94183,7.29896,39.5316,2024-07-27,True,True,azure99blossomv5134b,none,False,,,,,,,,
Azure99/blossom-v5.1-9b,8.829,2024-07-24,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",26.4702,50.8582,34.2012,21.2236,11.4094,8.02448,33.1043,2024-07-24,True,True,azure99blossomv519b,none,False,,,,,,,,
BAAI/Gemma2-9B-IT-Simpo-Infinity-Preference,9.242,2024-09-05,,🔶 fine-tuned on domain-specific datasets,22.6079,31.7638,42.1908,9.7432,11.9687,8.10495,31.8761,2024-09-05,False,False,baaigemma29bitsimpoinfinitypreference,medium,True,Gemma 2 9B,9,4.32e+23,8e+12,Yes,Open weights (restricted use),2024-06-24,Google DeepMind
BAAI/Infinity-Instruct-3M-0613-Llama3-70B,70.554,2024-06-28,apache-2.0,🔶 fine-tuned on domain-specific datasets,35.5782,68.2113,51.3272,21.5257,14.4295,16.5326,41.4432,2024-06-28,False,True,baaiinfinityinstruct3m0613llama370b,none,False,,,,,,,,
BAAI/Infinity-Instruct-3M-0613-Mistral-7B,7.242,2024-06-27,apache-2.0,🔶 fine-tuned on domain-specific datasets,22.2935,53.1987,28.9929,8.1571,6.15213,13.2521,24.0082,2024-06-27,False,True,baaiinfinityinstruct3m0613mistral7b,none,False,,,,,,,,
BAAI/Infinity-Instruct-3M-0625-Llama3-70B,70.554,2024-08-30,apache-2.0,🔶 fine-tuned on domain-specific datasets,36.9101,74.4212,52.0282,22.5076,14.3177,18.3404,39.8456,2024-08-30,False,True,baaiinfinityinstruct3m0625llama370b,none,False,,,,,,,,
BAAI/Infinity-Instruct-3M-0625-Llama3-8B,8.03,2024-07-13,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",22.0625,60.5027,28.9882,8.83686,3.3557,5.66771,25.024,2024-07-13,True,True,baaiinfinityinstruct3m0625llama38b,none,False,,,,,,,,
BAAI/Infinity-Instruct-3M-0625-Mistral-7B,7.242,2024-08-05,apache-2.0,🔶 fine-tuned on domain-specific datasets,22.8434,58.6742,28.8233,7.6284,4.9217,12.2383,24.7747,2024-08-05,False,True,baaiinfinityinstruct3m0625mistral7b,none,False,,,,,,,,
