line,model_form,source,fit_mode,nature,role,n,rmse,mae,bias,r2,params,uncertainty,artifact_path,commit,notes
B,classical,B7,refit_per_source_internal,半合成,fit,450,0.118239,,,0.879516,每源独立重拟合经典律,,line-b/results/q2_source_diagnosis.csv,e498b2c6979a154c15a385a9a315827ef801a169,来源诊断 verdict=含真实散布；level=题面标注：半合成
B,classical,B8,refit_per_source_internal,半合成,fit,1704,0.650993,,,0.128442,每源独立重拟合经典律,,line-b/results/q2_source_diagnosis.csv,e498b2c6979a154c15a385a9a315827ef801a169,来源诊断 verdict=含真实散布；level=题面标注：半合成
B,classical,B10,refit_per_source_internal,估算,fit,128,2.91403e-05,,,1.0,每源独立重拟合经典律,,line-b/results/q2_source_diagnosis.csv,e498b2c6979a154c15a385a9a315827ef801a169,来源诊断 verdict=公式生成（残差≈舍入量级，判为合成）；level=题面标注：估算
B,classical,B4,fixed_model_cross_source,真实,validation,57,0.292667,0.227263,-0.221009,0.604505,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878,,line-b/results/q2_validation_sources.csv,e498b2c6979a154c15a385a9a315827ef801a169,B1 冻结经典参数直接外推；level=真实
B,classical,B5,fixed_model_cross_source,真实,validation,44,0.197595,0.170722,-0.0205699,0.730559,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878,,line-b/results/q2_validation_sources.csv,e498b2c6979a154c15a385a9a315827ef801a169,B1 冻结经典参数直接外推；level=真实
B,classical,B10,fixed_model_cross_source,估算,validation,128,0.00109383,0.000614049,0.000614049,0.999992,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878,,line-b/results/q2_validation_sources.csv,e498b2c6979a154c15a385a9a315827ef801a169,B1 冻结经典参数直接外推；level=估算
B,classical,B2,fixed_model_cross_source,半合成,validation,1029,1.24308,1.17844,-1.17844,-5.0728,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878,,line-b/results/q2_validation_sources.csv,e498b2c6979a154c15a385a9a315827ef801a169,B1 冻结经典参数直接外推；level=半合成
B,classical,B3,fixed_model_cross_source,插值,validation,4000,0.00382128,0.00289295,-0.00196832,0.999958,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878,,line-b/results/q2_validation_sources.csv,e498b2c6979a154c15a385a9a315827ef801a169,B1 冻结经典参数直接外推；level=插值
B,effective_token,B6,refit_per_source_internal,半合成,fit,360,,,,,kappa_staged=1.05243;kappa_joint=1.21646,"kappa_ci95=[0.981735,1.15071]",line-b/results/q2_scaling_parameters.json,e498b2c6979a154c15a385a9a315827ef801a169,fitted_on=B6 半合成 N-D-Q 实验（360 点）；staged=冻结 B1 经典参数仅估 κ；RMSE 未持久化(仅 stdout)，故留空
B,effective_token,B7,refit_per_source_internal,半合成,fit,450,0.114675,,,,kappa_staged=1.07631;kappa_joint=1.17978,,line-b/results/q2_quality_alt_datasets.csv,e498b2c6979a154c15a385a9a315827ef801a169,rmse_joint=0.0695443;rmse_const=0.34064;κ 在该源重拟合(staged=冻结 B1 经典参数)；data_type=n/a
B,effective_token,B8,refit_per_source_internal,半合成,fit,1704,1.18519,,,,kappa_staged=0.02;kappa_joint=0.02,,line-b/results/q2_quality_alt_datasets.csv,e498b2c6979a154c15a385a9a315827ef801a169,rmse_joint=0.651924;rmse_const=0.697313;κ 在该源重拟合(staged=冻结 B1 经典参数)；data_type=calibrated;extrapolated；**κ 命中下界 0.02**
C,classical,B1,refit_per_source_internal,真实,fit,1176,0.0001464960899258,0.0001052319130094,3.4804358941361285e-14,0.9999998165821044,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878,,line-c/artifacts/baselines/Q2-C/validation_cross_source_M0.csv,cf7657616dc04cd2547339ed1fdb6c4dc2d4b378,M0 经典律，参数在 B1 拟合；δ 关闭；Q≡1(约定)，κ/ρ 对 Q=1 源无作用，故 M0 与 M2 预测相同；真实观测（Pythia 训练日志） (file=pythia_training_log_existing.csv)
C,classical,B10,fixed_model_cross_source,估算,validation,128,0.001093827814081,0.000614048830963,0.000614048830963,0.9999924211627056,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878,,line-c/artifacts/baselines/Q2-C/validation_cross_source_M0.csv,cf7657616dc04cd2547339ed1fdb6c4dc2d4b378,M0 经典律，参数在 B1 拟合；δ 关闭；Q≡1(约定)，κ/ρ 对 Q=1 源无作用，故 M0 与 M2 预测相同；估算 Loss（N=100–10000B，外推情景） (file=supplementary_large_baseline.csv)
C,classical,B2,fixed_model_cross_source,半合成,validation,1029,1.2430848665787693,1.178441812492146,-1.178441812492146,-5.072798817284103,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878,,line-c/artifacts/baselines/Q2-C/validation_cross_source_M0.csv,cf7657616dc04cd2547339ed1fdb6c4dc2d4b378,M0 经典律，参数在 B1 拟合；δ 关闭；Q≡1(约定)，κ/ρ 对 Q=1 源无作用，故 M0 与 M2 预测相同；半合成（Cerebras；D 最大 2050B 远超 B1 的 300B） (file=cerebras_training_log.csv)
C,classical,B4,fixed_model_cross_source,真实,validation,57,0.2926666775453104,0.2272632932670782,-0.2210085326625901,0.6045048852527305,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878,,line-c/artifacts/baselines/Q2-C/validation_cross_source_M0.csv,cf7657616dc04cd2547339ed1fdb6c4dc2d4b378,M0 经典律，参数在 B1 拟合；δ 关闭；Q≡1(约定)，κ/ρ 对 Q=1 源无作用，故 M0 与 M2 预测相同；跨族（12 个模型族，含与 B1 重叠的 Pythia） (file=scaling_baseline.csv)
C,classical,B5_Chowdhery et al. 2022,fixed_model_cross_source,真实,validation,3,0.3303847675643517,0.3075718269059126,0.3075718269059126,-2.545396595114032,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878,,line-c/artifacts/baselines/Q2-C/validation_cross_source_M0.csv,cf7657616dc04cd2547339ed1fdb6c4dc2d4b378,M0 经典律，参数在 B1 拟合；δ 关闭；Q≡1(约定)，κ/ρ 对 Q=1 源无作用，故 M0 与 M2 预测相同；文献值（6 个来源，评测口径各异） (file=published_scaling_data.csv)
C,classical,B5_Hoffmann et al. 2022,fixed_model_cross_source,真实,validation,16,0.1633239316188163,0.142200317668747,-0.044296453783863,0.7930610160433564,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878,,line-c/artifacts/baselines/Q2-C/validation_cross_source_M0.csv,cf7657616dc04cd2547339ed1fdb6c4dc2d4b378,M0 经典律，参数在 B1 拟合；δ 关闭；Q≡1(约定)，κ/ρ 对 Q=1 源无作用，故 M0 与 M2 预测相同；文献值（6 个来源，评测口径各异） (file=published_scaling_data.csv)
C,classical,B5_Kaplan et al. 2020,fixed_model_cross_source,真实,validation,9,0.1436509494787535,0.1227879730398812,-0.1227879730398812,0.7422367660917522,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878,,line-c/artifacts/baselines/Q2-C/validation_cross_source_M0.csv,cf7657616dc04cd2547339ed1fdb6c4dc2d4b378,M0 经典律，参数在 B1 拟合；δ 关闭；Q≡1(约定)，κ/ρ 对 Q=1 源无作用，故 M0 与 M2 预测相同；文献值（6 个来源，评测口径各异） (file=published_scaling_data.csv)
C,classical,B5_Scao et al. 2022,fixed_model_cross_source,真实,validation,4,0.2073673205001699,0.2006359418809009,-0.1293609864000877,0.4927947993884786,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878,,line-c/artifacts/baselines/Q2-C/validation_cross_source_M0.csv,cf7657616dc04cd2547339ed1fdb6c4dc2d4b378,M0 经典律，参数在 B1 拟合；δ 关闭；Q≡1(约定)，κ/ρ 对 Q=1 源无作用，故 M0 与 M2 预测相同；文献值（6 个来源，评测口径各异） (file=published_scaling_data.csv)
C,classical,B5_Touvron et al. 2023,fixed_model_cross_source,真实,validation,7,0.215925497768653,0.2078343428808693,0.2078343428808693,-3.606335180407752,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878,,line-c/artifacts/baselines/Q2-C/validation_cross_source_M0.csv,cf7657616dc04cd2547339ed1fdb6c4dc2d4b378,M0 经典律，参数在 B1 拟合；δ 关闭；Q≡1(约定)，κ/ρ 对 Q=1 源无作用，故 M0 与 M2 预测相同；文献值（6 个来源，评测口径各异） (file=published_scaling_data.csv)
C,classical,B5_Zhang et al. 2022,fixed_model_cross_source,真实,validation,5,0.2364649108004366,0.1902701791760348,-0.1902701791760348,-0.0240167071249128,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878,,line-c/artifacts/baselines/Q2-C/validation_cross_source_M0.csv,cf7657616dc04cd2547339ed1fdb6c4dc2d4b378,M0 经典律，参数在 B1 拟合；δ 关闭；Q≡1(约定)，κ/ρ 对 Q=1 源无作用，故 M0 与 M2 预测相同；文献值（6 个来源，评测口径各异） (file=published_scaling_data.csv)
C,classical,B6,fixed_model_cross_source,半合成,validation,360,0.2172371455328556,0.1760025942751426,-0.1682367599542289,0.6036411309259669,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878,,line-c/artifacts/baselines/Q2-C/validation_cross_source_M0.csv,cf7657616dc04cd2547339ed1fdb6c4dc2d4b378,M0 经典律，参数在 B1 拟合；δ 关闭；offset_group=1(质量族)；半合成质量主集（δ 组） (file=supplementary_NQ_experiment.csv)
C,classical,B7,fixed_model_cross_source,半合成,validation,450,0.2073061073553741,0.170003038522071,-0.16379037106534,0.6296320006542442,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878,,line-c/artifacts/baselines/Q2-C/validation_cross_source_M0.csv,cf7657616dc04cd2547339ed1fdb6c4dc2d4b378,M0 经典律，参数在 B1 拟合；δ 关闭；offset_group=1(质量族)；半合成质量扩展集（δ 组） (file=supplementary_NQ_experiment_expanded.csv)
C,classical,B8_calibrated,fixed_model_cross_source,半合成,validation,984,1.1825366029157325,0.9745376819393798,0.97253026464493,-1.7741069835270498,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878,,line-c/artifacts/baselines/Q2-C/validation_cross_source_M0.csv,cf7657616dc04cd2547339ed1fdb6c4dc2d4b378,M0 经典律，参数在 B1 拟合；δ 关闭；offset_group=1(质量族)；半合成质量大模型集（calibrated 与 extrapolated 分开，δ 组） (file=supplementary_NQ_experiment_large.csv)
C,classical,B8_extrapolated,fixed_model_cross_source,半合成,validation,720,1.1823404520189114,0.9985679989134584,0.9956445365069728,-2.448453869506792,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878,,line-c/artifacts/baselines/Q2-C/validation_cross_source_M0.csv,cf7657616dc04cd2547339ed1fdb6c4dc2d4b378,M0 经典律，参数在 B1 拟合；δ 关闭；offset_group=1(质量族)；半合成质量大模型集（calibrated 与 extrapolated 分开，δ 组） (file=supplementary_NQ_experiment_large.csv)
C,dual_channel,B1,refit_per_source_internal,真实,fit,1176,0.0001464960899258,0.0001052319130094,3.4804358941361285e-14,0.9999998165821044,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878;kappa=0.382102;rho=0.53867;delta=0.0594321,"kappa_ci95=[0.344978,0.418467];rho_ci95=[0.516806,0.560202]",line-c/artifacts/baselines/Q2-C/validation_cross_source_M2.csv,cf7657616dc04cd2547339ed1fdb6c4dc2d4b378,M2 双通道，staged 于 B1∪B6 拟合；质量族(dgrp=1)加 δ；Q≡1(约定)，κ/ρ 对 Q=1 源无作用，故 M0 与 M2 预测相同；真实观测（Pythia 训练日志） (file=pythia_training_log_existing.csv)
C,dual_channel,B6,refit_per_source_internal,半合成,fit,360,0.0675033613433511,0.0546519787165397,1.475582619055634e-12,0.9617288772055412,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878;kappa=0.382102;rho=0.53867;delta=0.0594321,"kappa_ci95=[0.344978,0.418467];rho_ci95=[0.516806,0.560202]",line-c/artifacts/baselines/Q2-C/validation_cross_source_M2.csv,cf7657616dc04cd2547339ed1fdb6c4dc2d4b378,M2 双通道，staged 于 B1∪B6 拟合；质量族(dgrp=1)加 δ；offset_group=1(质量族)；半合成质量主集（δ 组） (file=supplementary_NQ_experiment.csv)
C,dual_channel,B10,fixed_model_cross_source,估算,validation,128,0.001093827814081,0.000614048830963,0.000614048830963,0.9999924211627056,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878;kappa=0.382102;rho=0.53867;delta=0.0594321,"kappa_ci95=[0.344978,0.418467];rho_ci95=[0.516806,0.560202]",line-c/artifacts/baselines/Q2-C/validation_cross_source_M2.csv,cf7657616dc04cd2547339ed1fdb6c4dc2d4b378,M2 双通道，staged 于 B1∪B6 拟合；质量族(dgrp=1)加 δ；Q≡1(约定)，κ/ρ 对 Q=1 源无作用，故 M0 与 M2 预测相同；估算 Loss（N=100–10000B，外推情景） (file=supplementary_large_baseline.csv)
C,dual_channel,B2,fixed_model_cross_source,半合成,validation,1029,1.2430848665787693,1.178441812492146,-1.178441812492146,-5.072798817284103,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878;kappa=0.382102;rho=0.53867;delta=0.0594321,"kappa_ci95=[0.344978,0.418467];rho_ci95=[0.516806,0.560202]",line-c/artifacts/baselines/Q2-C/validation_cross_source_M2.csv,cf7657616dc04cd2547339ed1fdb6c4dc2d4b378,M2 双通道，staged 于 B1∪B6 拟合；质量族(dgrp=1)加 δ；Q≡1(约定)，κ/ρ 对 Q=1 源无作用，故 M0 与 M2 预测相同；半合成（Cerebras；D 最大 2050B 远超 B1 的 300B） (file=cerebras_training_log.csv)
C,dual_channel,B4,fixed_model_cross_source,真实,validation,57,0.2926666775453104,0.2272632932670782,-0.2210085326625901,0.6045048852527305,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878;kappa=0.382102;rho=0.53867;delta=0.0594321,"kappa_ci95=[0.344978,0.418467];rho_ci95=[0.516806,0.560202]",line-c/artifacts/baselines/Q2-C/validation_cross_source_M2.csv,cf7657616dc04cd2547339ed1fdb6c4dc2d4b378,M2 双通道，staged 于 B1∪B6 拟合；质量族(dgrp=1)加 δ；Q≡1(约定)，κ/ρ 对 Q=1 源无作用，故 M0 与 M2 预测相同；跨族（12 个模型族，含与 B1 重叠的 Pythia） (file=scaling_baseline.csv)
C,dual_channel,B5_Chowdhery et al. 2022,fixed_model_cross_source,真实,validation,3,0.3303847675643517,0.3075718269059126,0.3075718269059126,-2.545396595114032,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878;kappa=0.382102;rho=0.53867;delta=0.0594321,"kappa_ci95=[0.344978,0.418467];rho_ci95=[0.516806,0.560202]",line-c/artifacts/baselines/Q2-C/validation_cross_source_M2.csv,cf7657616dc04cd2547339ed1fdb6c4dc2d4b378,M2 双通道，staged 于 B1∪B6 拟合；质量族(dgrp=1)加 δ；Q≡1(约定)，κ/ρ 对 Q=1 源无作用，故 M0 与 M2 预测相同；文献值（6 个来源，评测口径各异） (file=published_scaling_data.csv)
C,dual_channel,B5_Hoffmann et al. 2022,fixed_model_cross_source,真实,validation,16,0.1633239316188163,0.142200317668747,-0.044296453783863,0.7930610160433564,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878;kappa=0.382102;rho=0.53867;delta=0.0594321,"kappa_ci95=[0.344978,0.418467];rho_ci95=[0.516806,0.560202]",line-c/artifacts/baselines/Q2-C/validation_cross_source_M2.csv,cf7657616dc04cd2547339ed1fdb6c4dc2d4b378,M2 双通道，staged 于 B1∪B6 拟合；质量族(dgrp=1)加 δ；Q≡1(约定)，κ/ρ 对 Q=1 源无作用，故 M0 与 M2 预测相同；文献值（6 个来源，评测口径各异） (file=published_scaling_data.csv)
C,dual_channel,B5_Kaplan et al. 2020,fixed_model_cross_source,真实,validation,9,0.1436509494787535,0.1227879730398812,-0.1227879730398812,0.7422367660917522,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878;kappa=0.382102;rho=0.53867;delta=0.0594321,"kappa_ci95=[0.344978,0.418467];rho_ci95=[0.516806,0.560202]",line-c/artifacts/baselines/Q2-C/validation_cross_source_M2.csv,cf7657616dc04cd2547339ed1fdb6c4dc2d4b378,M2 双通道，staged 于 B1∪B6 拟合；质量族(dgrp=1)加 δ；Q≡1(约定)，κ/ρ 对 Q=1 源无作用，故 M0 与 M2 预测相同；文献值（6 个来源，评测口径各异） (file=published_scaling_data.csv)
C,dual_channel,B5_Scao et al. 2022,fixed_model_cross_source,真实,validation,4,0.2073673205001699,0.2006359418809009,-0.1293609864000877,0.4927947993884786,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878;kappa=0.382102;rho=0.53867;delta=0.0594321,"kappa_ci95=[0.344978,0.418467];rho_ci95=[0.516806,0.560202]",line-c/artifacts/baselines/Q2-C/validation_cross_source_M2.csv,cf7657616dc04cd2547339ed1fdb6c4dc2d4b378,M2 双通道，staged 于 B1∪B6 拟合；质量族(dgrp=1)加 δ；Q≡1(约定)，κ/ρ 对 Q=1 源无作用，故 M0 与 M2 预测相同；文献值（6 个来源，评测口径各异） (file=published_scaling_data.csv)
C,dual_channel,B5_Touvron et al. 2023,fixed_model_cross_source,真实,validation,7,0.215925497768653,0.2078343428808693,0.2078343428808693,-3.606335180407752,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878;kappa=0.382102;rho=0.53867;delta=0.0594321,"kappa_ci95=[0.344978,0.418467];rho_ci95=[0.516806,0.560202]",line-c/artifacts/baselines/Q2-C/validation_cross_source_M2.csv,cf7657616dc04cd2547339ed1fdb6c4dc2d4b378,M2 双通道，staged 于 B1∪B6 拟合；质量族(dgrp=1)加 δ；Q≡1(约定)，κ/ρ 对 Q=1 源无作用，故 M0 与 M2 预测相同；文献值（6 个来源，评测口径各异） (file=published_scaling_data.csv)
C,dual_channel,B5_Zhang et al. 2022,fixed_model_cross_source,真实,validation,5,0.2364649108004366,0.1902701791760348,-0.1902701791760348,-0.0240167071249128,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878;kappa=0.382102;rho=0.53867;delta=0.0594321,"kappa_ci95=[0.344978,0.418467];rho_ci95=[0.516806,0.560202]",line-c/artifacts/baselines/Q2-C/validation_cross_source_M2.csv,cf7657616dc04cd2547339ed1fdb6c4dc2d4b378,M2 双通道，staged 于 B1∪B6 拟合；质量族(dgrp=1)加 δ；Q≡1(约定)，κ/ρ 对 Q=1 源无作用，故 M0 与 M2 预测相同；文献值（6 个来源，评测口径各异） (file=published_scaling_data.csv)
C,dual_channel,B7,fixed_model_cross_source,半合成,validation,450,0.0650084148199038,0.0525717850834036,-0.0050226523753034,0.9635792894545454,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878;kappa=0.382102;rho=0.53867;delta=0.0594321,"kappa_ci95=[0.344978,0.418467];rho_ci95=[0.516806,0.560202]",line-c/artifacts/baselines/Q2-C/validation_cross_source_M2.csv,cf7657616dc04cd2547339ed1fdb6c4dc2d4b378,M2 双通道，staged 于 B1∪B6 拟合；质量族(dgrp=1)加 δ；offset_group=1(质量族)；半合成质量扩展集（δ 组） (file=supplementary_NQ_experiment_expanded.csv)
C,dual_channel,B8_calibrated,fixed_model_cross_source,半合成,validation,984,1.397560982481515,1.1488571816699964,1.1487537481595094,-2.8746774554831025,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878;kappa=0.382102;rho=0.53867;delta=0.0594321,"kappa_ci95=[0.344978,0.418467];rho_ci95=[0.516806,0.560202]",line-c/artifacts/baselines/Q2-C/validation_cross_source_M2.csv,cf7657616dc04cd2547339ed1fdb6c4dc2d4b378,M2 双通道，staged 于 B1∪B6 拟合；质量族(dgrp=1)加 δ；offset_group=1(质量族)；半合成质量大模型集（calibrated 与 extrapolated 分开，δ 组） (file=supplementary_NQ_experiment_large.csv)
C,dual_channel,B8_extrapolated,fixed_model_cross_source,半合成,validation,720,1.3101581289444968,1.1123179645735597,1.1122629644050928,-3.234350023319553,E=1.6898;A=0.35398;alpha=0.339977;B=1.24031;beta=0.279878;kappa=0.382102;rho=0.53867;delta=0.0594321,"kappa_ci95=[0.344978,0.418467];rho_ci95=[0.516806,0.560202]",line-c/artifacts/baselines/Q2-C/validation_cross_source_M2.csv,cf7657616dc04cd2547339ed1fdb6c4dc2d4b378,M2 双通道，staged 于 B1∪B6 拟合；质量族(dgrp=1)加 δ；offset_group=1(质量族)；半合成质量大模型集（calibrated 与 extrapolated 分开，δ 组） (file=supplementary_NQ_experiment_large.csv)
